"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-08-21","80.4","-1.79","6.21","Ohtani, Shohei",571466,660271,,"ball",,,,,14,"Tucker Barnhart grounds out, shortstop Andrew Velazquez to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,2,2,2022,"0.93","-1.09","1.68","2",,,,1,4,"Bot",,,,,545358,,,5.964793843362643,-116.91270028917538,-0.45098760752732336,7.186778220862166,24.925292454444513,-42.256938167171306,"3.06","1.44",,,,"80.6",2610,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.74",,,,,,,,34,5,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",43,"0","0.073"
"FF","2022-08-21","97.5","-2.25","5.71","Ohtani, Shohei",571466,660271,,"ball",,,,,9,"Tucker Barnhart grounds out, shortstop Andrew Velazquez to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,1,2,2022,"-0.72","1.11","0.51","1.58",,,,1,4,"Bot",,,,,545358,,,9.169728228515062,-141.6167459821997,-8.256775686956509,-11.732017581096676,29.939135582510083,-15.465033641953072,"3.07","1.44",,,,"98.6",2278,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.64",,,,,,,,34,4,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",221,"0","0.023"
"ST","2022-08-21","83.3","-2.47","5.67","Ohtani, Shohei",571466,660271,,"foul",,,,,9,"Tucker Barnhart grounds out, shortstop Andrew Velazquez to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,1,1,2022,"1.22","0.2","0.48","1.91",,,,1,4,"Bot",,,,,545358,,,4.416814266263069,-121.44796967154578,-2.695852371575902,11.411308807861328,21.098443511669394,-29.85616914973122,"3.13","1.44",,,,"84.5",2487,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.81",,,,,,,,34,3,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",70,"0","-0.036"
"ST","2022-08-21","82.4","-2.49","5.67","Ohtani, Shohei",571466,660271,,"called_strike",,,,,5,"Tucker Barnhart grounds out, shortstop Andrew Velazquez to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,1,0,2022,"1.12","0.42","-0.09","1.99",,,,1,4,"Bot",,,,,545358,,,3.304340922663934,-119.98968042059003,-2.664684129897507,10.213481821506342,23.466324794116964,-27.803792391163316,"3.02","1.44",,,,"83.2",2367,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.67",,,,,,,,34,2,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",76,"0","-0.031"
"FF","2022-08-21","95.7","-2.04","5.78","Ohtani, Shohei",571466,660271,,"ball",,,,,14,"Tucker Barnhart grounds out, shortstop Andrew Velazquez to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,0,0,2022,"-0.82","0.98","0.11","1.21",,,,1,4,"Bot",,,,,545358,,,7.612819331341886,-138.9951873391257,-8.749795511281985,-12.333582509881502,28.994256429027626,-17.682468000575266,"3.11","1.44",,,,"96.8",2141,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.62",,,,,,,,34,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",223,"0","0.023"
"FF","2022-08-21","92.3","-2.25","5.93","Ohtani, Shohei",665019,660271,"field_out","hit_into_play",,,,,4,"Kody Clemens grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","X",4,"ground_ball",2,0,2022,"-0.79","1.26","-0.33","2.54",,,,0,4,"Bot",147.91,166.12,,,545358,,,6.65894637372692,-134.20785869295736,-5.588012547634039,-10.965755070965317,27.95666157743053,-15.970488822131614,"3.4","1.66",27,"100.8",-4,"93.2",2138,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.74",0.291,0.262,"0",1,0,0,2,33,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",218,"-0.02","-0.317"
"ST","2022-08-21","80.9","-2.5","5.77","Ohtani, Shohei",665019,660271,,"ball",,,,,14,"Kody Clemens grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,1,0,2022,"1.07","0.05","0.48","1.37",,,,0,4,"Bot",,,,,545358,,,4.615399485797246,-117.63912790642814,-3.2008776295325383,8.973114051304902,24.12135974270938,-31.293664710573328,"3.43","1.66",,,,"81.2",2415,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.77",,,,,,,,33,2,"Sweeper",1,0,1,0,0,1,1,0,"Infield shift","Standard",58,"0","0.063"
"CU","2022-08-21","73.4","-1.9","6.36","Ohtani, Shohei",665019,660271,,"ball",,,,,13,"Kody Clemens grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,0,0,2022,"0.69","-1.06","-1.21","1.81",,,,0,4,"Bot",,,,,545358,,,0.19662815825818847,-106.8599533080404,-0.009700346055343756,5.20479491968265,20.219230795898557,-40.43894696797169,"3.34","1.66",,,,"73.4",2329,"6.5",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"54.03",,,,,,,,33,1,"Curveball",1,0,1,0,0,1,1,0,"Infield shift","Standard",28,"0","0.033"
"ST","2022-08-21","82.2","-2.38","5.66","Ohtani, Shohei",650489,660271,"field_out","hit_into_play",,,,,9,"Willi Castro pops out to third baseman Luis Rengifo.","R","L","R","DET","LAA","X",5,"popup",1,1,2022,"1.13","0.31","0.59","2.08",,,605612,2,3,"Bot",97.78,156.97,,,545358,,,4.596596101237508,-119.73488714477708,-2.2448207990748763,10.036040235629999,22.144262166745587,-28.959253115475516,"3.44","1.62",132,"56",53,"83.2",2496,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.7",0.04,0.036,"0",1,0,0,1,28,3,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",59,"-0.021","-0.209"
"FF","2022-08-21","95.6","-2.13","5.78","Ohtani, Shohei",650489,660271,,"swinging_strike",,,,,2,"Willi Castro pops out to third baseman Luis Rengifo.","R","L","R","DET","LAA","S",,,1,0,2022,"-0.3","1.14","0.12","3.41",,,605612,2,3,"Bot",,,,,545358,,,6.6915311366888846,-139.19443602350339,-3.2619136378240774,-5.367647555487384,28.87127237818368,-16.721761324474347,"3.44","1.62",,,,"97",2185,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.6",,,,,,,,28,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",215,"0","-0.041"
"FF","2022-08-21","95.9","-2.27","5.77","Ohtani, Shohei",650489,660271,,"ball",,,,,11,"Willi Castro pops out to third baseman Luis Rengifo.","R","L","R","DET","LAA","B",,,0,0,2022,"-0.56","1.24","-1.16","3.14",,,605612,2,3,"Bot",,,,,545358,,,4.221780812768341,-139.68997773541238,-4.247249253563231,-8.228123912638898,28.74641516550589,-15.165994435351603,"3.5","1.62",,,,"97.1",2269,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.79",,,,,,,,28,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",216,"0","0.032"
"FF","2022-08-21","97.6","-2.32","5.74","Ohtani, Shohei",681481,660271,"strikeout","swinging_strike",,,,,12,"Kerry Carpenter strikes out swinging.","R","L","R","DET","LAA","S",2,,0,2,2022,"-0.36","1.17","0.16","3.76",,,605612,1,3,"Bot",,,,,545358,,,7.560378143183506,-142.1073263331666,-2.623207967545049,-6.386801363809762,27.810855289009393,-15.802633342289678,"3.47","1.59",,,,"98.9",2190,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.84",,,"0",1,0,0,,27,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",214,"-0.025","-0.179"
"CU","2022-08-21","76.7","-1.94","6.12","Ohtani, Shohei",681481,660271,,"swinging_strike",,,,,9,"Kerry Carpenter strikes out swinging.","R","L","R","DET","LAA","S",,,0,1,2022,"0.82","-1.1","0.57","2",,,605612,1,3,"Bot",,,,,545358,,,3.8666236375285967,-111.68748349540115,0.3439796727797526,6.120649581501962,21.39088146324605,-41.6071343487038,"3.47","1.59",,,,"77.7",2496,"7.1",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.41",,,,,,,,27,2,"Curveball",1,0,1,0,0,1,1,0,"Infield shift","Standard",38,"0","-0.068"
"FF","2022-08-21","93.8","-2.23","5.79","Ohtani, Shohei",681481,660271,,"called_strike",,,,,1,"Kerry Carpenter strikes out swinging.","R","L","R","DET","LAA","S",,,0,0,2022,"-0.43","1","-0.78","2.81",,,605612,1,3,"Bot",,,,,545358,,,4.7430586356438,-136.76946769198923,-4.379876570818226,-6.290656254238294,23.889944804633977,-18.768831599223006,"3.33","1.59",12,,,"95.7",1976,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.67",,,,,,,,27,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",216,"0","-0.048"
"ST","2022-08-21","83.3","-2.55","5.64","Ohtani, Shohei",605612,660271,"single","hit_into_play",,,,,14,"Harold Castro singles on a line drive to right fielder Taylor Ward.","R","L","R","DET","LAA","X",9,"line_drive",3,1,2022,"0.96","0.4","0.07","1.17",,,,1,3,"Bot",164.96,105.6,,,545358,,,4.160527596128365,-121.31839293071505,-4.659820481225797,8.742815384312804,23.171682981708106,-27.531320406476777,"3.43","1.61",215,"92.7",17,"84",2513,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.82",0.657,0.674,"0.9",1,1,0,4,26,5,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",64,"0.022","0.162"
"FF","2022-08-21","92","-2.2","5.84","Ohtani, Shohei",605612,660271,,"called_strike",,,,,6,"Harold Castro singles on a line drive to right fielder Taylor Ward.","R","L","R","DET","LAA","S",,,3,0,2022,"-0.52","1.3","0.73","2.29",,,,1,3,"Bot",,,,,545358,,,8.652278389412029,-133.69014287331993,-6.058211404229905,-8.061335390280323,26.80866812722542,-15.483434359424066,"3.43","1.61",,,,"93",2251,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.73",,,,,,,,26,4,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",216,"0","-0.052"
"FC","2022-08-21","89.9","-2.62","5.62","Ohtani, Shohei",605612,660271,,"ball",,,,,11,"Harold Castro singles on a line drive to right fielder Taylor Ward.","R","L","R","DET","LAA","B",,,2,0,2022,"0.29","0.64","-1.7","2.84",,,,1,3,"Bot",,,,,545358,,,1.6924443585606115,-131.13285794380036,-2.38519205312259,3.0348480020418953,24.271858822491446,-24.416277444818824,"3.4","1.61",,,,"91.2",2405,"6.6",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.85",,,,,,,,26,3,"Cutter",1,0,1,0,0,1,1,0,"Standard","Standard",202,"0","0.086"
"FF","2022-08-21","95.5","-2.35","5.78","Ohtani, Shohei",605612,660271,,"ball",,,,,11,"Harold Castro singles on a line drive to right fielder Taylor Ward.","R","L","R","DET","LAA","B",,,1,0,2022,"-0.47","1.21","-1.13","2.55",,,,1,3,"Bot",,,,,545358,,,4.316998925306656,-139.12203101871177,-5.700161277581003,-7.022601076486224,28.330354268262983,-15.42204633402224,"3.48","1.61",,,,"96.6",2297,"6.6",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.85",,,,,,,,26,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",220,"0","0.044"
"CU","2022-08-21","76.7","-2.07","6.15","Ohtani, Shohei",605612,660271,,"ball",,,,,14,"Harold Castro singles on a line drive to right fielder Taylor Ward.","R","L","R","DET","LAA","B",,,0,0,2022,"0.92","-1.14","0.41","1.31",,,,1,3,"Bot",,,,,545358,,,3.6132157336324324,-111.56112986535504,-1.0935919579879287,6.964080297967877,21.881899378713218,-41.66779303617047,"3.15","1.61",,,,"77.2",2507,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.64",,,,,,,,26,1,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",32,"0","0.023"
"ST","2022-08-21","85.2","-2.48","5.6","Ohtani, Shohei",595879,660271,"field_out","hit_into_play",,,,,8,"Javier Baez pops out to third baseman Luis Rengifo.","R","R","R","DET","LAA","X",5,"popup",1,1,2022,"1.32","0.24","-0.05","2.06",,,,0,3,"Bot",87.44,162.39,,,545358,,,3.091893194543828,-124.06270304162233,-2.5040543801605057,13.005551228200735,24.481694021927947,-29.424813310853295,"3.29","1.56",134,"87.6",67,"85.9",2541,"6.6",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.85",0.009,0.01,"0",1,0,0,3,25,3,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",74,"-0.02","-0.212"
"ST","2022-08-21","84.7","-2.6","5.55","Ohtani, Shohei",595879,660271,,"ball",,,,,14,"Javier Baez pops out to third baseman Luis Rengifo.","R","R","R","DET","LAA","B",,,0,1,2022,"1.11","0.44","2.5","1.05",,,,0,3,"Bot",,,,,545358,,,9.744332002956307,-123.00292612447191,-5.047721390554445,9.375147107563528,24.18036724106881,-26.878045893916763,"3.17","1.56",,,,"85.3",2505,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.71",,,,,,,,25,2,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",60,"0","0.025"
"ST","2022-08-21","84.4","-2.51","5.77","Ohtani, Shohei",595879,660271,,"swinging_strike",,,,,1,"Javier Baez pops out to third baseman Luis Rengifo.","R","R","R","DET","LAA","S",,,0,0,2022,"0.87","0.68","-0.39","2.88",,,,0,3,"Bot",,,,,545358,,,3.208090606106948,-122.88386521083838,-1.7180023798515793,8.19105607376057,24.92536100334537,-25.11991267461033,"3.29","1.56",,,,"84.9",2439,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.84",,,,,,,,25,1,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",81,"0","-0.034"
"FF","2022-08-21","97.9","-2.17","5.77","Ohtani, Shohei",622682,660271,"field_out","hit_into_play",,,,,9,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","X",4,"ground_ball",3,2,2022,"-0.04","1.14","0.76","2.29",650489,668731,682985,2,2,"Bot",142.01,148.58,,,545358,,,8.076997813046454,-142.3478998440555,-6.6231876296505545,-2.266209381486051,31.16119735154567,-15.37429461760209,"3.69","1.77",95,"62.6",11,"99.1",2251,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.58",0.263,0.237,"0",1,0,0,2,19,8,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",206,"-0.063","-0.962"
"ST","2022-08-21","88.8","-2.47","5.54","Ohtani, Shohei",622682,660271,,"foul",,,,,5,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,3,2,2022,"0.64","0.48","0.02","2.48",650489,668731,682985,2,2,"Bot",,,,,545358,,,4.779368991927555,-129.3069964148976,-2.4987573838863737,6.273306920530435,25.63327925507336,-26.46437293471068,"3.69","1.77",141,"72.7",14,"89.6",2453,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.84",,,,,,,,19,7,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",81,"0","0"
"CU","2022-08-21","80.4","-1.95","6.19","Ohtani, Shohei",622682,660271,,"ball",,,,,11,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,2,2,2022,"1.07","-1.17","-1.09","2.77",650489,668731,682985,2,2,"Bot",,,,,545358,,,-0.12694752379059343,-117.01414762159963,1.4161365196077547,9.76754996296597,24.19764065392318,-43.409594165866835,"3.54","1.77",,,,"80.6",2601,"6.6",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.87",,,,,,,,19,6,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",42,"0","0.321"
"ST","2022-08-21","90.1","-2.62","5.56","Ohtani, Shohei",622682,660271,,"ball",,,,,1,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,1,2,2022,"0.77","0.63","-0.71","3.57",650489,668731,682985,2,2,"Bot",,,,,545358,,,3.139515442405699,-131.24390015819395,-0.3471605942737866,8.309974253758032,26.12991695527877,-25.013668702438792,"3.68","1.78",,,,"91.1",2515,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.8",,,,,,,,19,5,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",80,"0","0.106"
"FS","2022-08-21","90.7","-2.02","6.02","Ohtani, Shohei",622682,660271,,"foul",,,,,13,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,1,2,2022,"-0.64","-0.05","-0.58","1.44",650489,668731,682985,2,2,"Bot",,,,,545358,,,5.039368994817124,-132.0381566580183,-5.497339172101475,-8.573409835702906,27.041451832525805,-31.793080756454618,"3.69","1.77",1,"69.3",-45,"92",1237,"7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.55",,,,,,,,19,4,"Split-Finger",1,0,1,0,0,1,1,0,"Standard","Standard",232,"0","0"
"ST","2022-08-21","90.1","-2.59","5.5","Ohtani, Shohei",622682,660271,,"ball",,,,,14,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","B",,,0,2,2022,"1.11","0.61","2.1","1.72",650489,668731,682985,2,2,"Bot",,,,,545358,,,9.353008122794332,-130.86269993986946,-4.710165148362257,10.6154691254404,29.574028293540795,-24.293423205891585,"3.54","1.77",,,,"90.5",2662,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.73",,,,,,,,19,3,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",61,"0","0.072"
"ST","2022-08-21","87.5","-2.53","5.58","Ohtani, Shohei",622682,660271,,"swinging_strike",,,,,14,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,0,1,2022,"1.42","0.35","1.76","1.9",650489,668731,682985,2,2,"Bot",,,,,545358,,,7.505360260183628,-127.28695704976873,-3.461587768851194,13.72887807135055,27.370041645600427,-27.84221163186938,"3.69","1.77",,,,"88.2",2615,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.63",,,,,,,,19,2,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",63,"0","-0.158"
"ST","2022-08-21","85.2","-2.66","5.61","Ohtani, Shohei",622682,660271,,"called_strike",,,,,7,"Victor Reyes grounds out, second baseman David Fletcher to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,0,0,2022,"1.36","0.28","-0.72","2.27",650489,668731,682985,2,2,"Bot",,,,,545358,,,1.8308929022333207,-124.11922797126186,-2.140231472888817,13.672697103525097,25.079104684527344,-29.07005062841518,"3.68","1.77",,,,"86",2519,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.74",,,,,,,,19,1,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",62,"0","-0.128"
"ST","2022-08-21","84","-2.45","5.59","Ohtani, Shohei",682985,660271,"walk","ball",,,,,14,"Riley Greene walks.","R","L","R","DET","LAA","B",,,3,0,2022,"1.37","0.26","0.87","1.24",650489,668731,,2,2,"Bot",,,,,545358,,,5.010648614944222,-122.25529003311478,-4.2190516810970795,12.718755355951153,24.515429821628114,-28.908728861715208,"3.4","1.6",,,,"84.6",2483,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.8",,,"0.7",1,0,0,,18,4,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",62,"0.012","0.12"
"ST","2022-08-21","86.1","-2.52","5.59","Ohtani, Shohei",682985,660271,,"ball",,,,,14,"Riley Greene walks.","R","L","R","DET","LAA","B",,,2,0,2022,"1.48","0.15","1.76","2.45",650489,668731,,2,2,"Bot",,,,,545358,,,7.211935395313299,-125.17674519205437,-1.4646958208531344,13.89125755101805,27.0301579790985,-30.564177223617826,"3.48","1.6",,,,"86.5",2488,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.78",,,,,,,,18,3,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",64,"0","0.037"
"FF","2022-08-21","97.8","-2.43","5.8","Ohtani, Shohei",682985,660271,,"ball",,,,,11,"Riley Greene walks.","R","L","R","DET","LAA","B",,,1,0,2022,"-0.72","1.18","-2.73","3.95",650489,,668731,2,2,"Bot",,,,,545358,,,0.8683420023899578,-142.52155230010848,-2.2432911559937203,-10.030802822373444,32.815135066273136,-15.804415703776977,"3.47","1.6",,,,"98.7",2271,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.78",,,,,,,,18,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",219,"0.008","0.045"
"CU","2022-08-21","77.6","-1.98","6.09","Ohtani, Shohei",682985,660271,,"blocked_ball",,,,,14,"Riley Greene walks.","R","L","R","DET","LAA","B",,,0,0,2022,"0.83","-1.19","0.3","0.49",650489,,668731,2,2,"Bot",,,,,545358,,,3.389050663269028,-112.99728368559258,-2.8719616216408044,6.407109596719518,21.578848337056968,-42.010094188655295,"3.42","1.6",,,,"78",2510,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.84",,,,,,,,18,1,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",34,"0","0.064"
"FF","2022-08-21","97.2","-2.13","5.74","Ohtani, Shohei",668731,660271,"single","hit_into_play",,,,,8,"Akil Baddoo singles on a ground ball to shortstop Andrew Velazquez, deflected by pitcher Shohei Ohtani.   Willi Castro to 3rd.","R","L","R","DET","LAA","X",1,"ground_ball",0,0,2022,"-0.51","1.1","-0.13","1.86",,650489,,2,2,"Bot",127.35,175.04,,,545358,,,6.582587823040374,-141.3535609987492,-7.469383552529496,-8.27341177535429,31.303846540014483,-15.964279919052165,"3.3","1.57",26,"99.2",-2,"98.4",2074,"6.9",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.55",0.351,0.335,"0.9",1,1,0,2,17,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",215,"0.013","0.741"
"ST","2022-08-21","85.8","-2.45","5.66","Ohtani, Shohei",571466,660271,"field_out","hit_into_play",,,,,8,"Tucker Barnhart flies out to left fielder Jo Adell.","R","L","R","DET","LAA","X",7,"fly_ball",0,0,2022,"0.84","0.49","0.22","1.83",,650489,,1,2,"Bot",74.79,89.28,,,545358,,,4.625799635011928,-124.95293519367165,-3.8629897121330132,7.988215337452968,23.46598274593307,-26.492888470918658,"3.13","1.44",301,"87.3",31,"86.6",2515,"6.6",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.89",0.043,0.053,"0",1,0,0,3,16,1,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",57,"-0.03","-0.333"
"FS","2022-08-21","90.2","-1.97","6.01","Ohtani, Shohei",665019,660271,"strikeout","swinging_strike_blocked",,,,,14,"Kody Clemens strikes out swinging, catcher Max Stassi to first baseman Jared Walsh.","R","L","R","DET","LAA","S",2,,0,2,2022,"-0.4","0.01","0.05","0.32",,650489,,0,2,"Bot",,,,,545358,,,5.946912333791802,-131.19242683688313,-8.338966861247101,-5.810233232227771,24.871277998925184,-30.595923554967857,"3.4","1.66",,,,"91.4",1261,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.66",,,"0",1,0,0,,15,4,"Split-Finger",1,0,1,0,0,1,1,0,"Infield shift","Standard",247,"-0.037","-0.281"
"FF","2022-08-21","98.5","-2.28","5.76","Ohtani, Shohei",665019,660271,,"foul",,,,,1,"Kody Clemens strikes out swinging, catcher Max Stassi to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,0,2,2022,"-0.49","1.17","-0.42","3.11",,650489,,0,2,"Bot",,,,,545358,,,6.221506288157449,-143.3758217941799,-4.516607980506606,-8.17779583537937,31.979221872859018,-15.10413715100829,"3.4","1.66",242,"79.9",46,"99.5",2308,"6.7",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.76",,,,,,,,15,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",221,"0","0"
"FF","2022-08-21","97.1","-2.26","5.82","Ohtani, Shohei",665019,660271,,"swinging_strike",,,,,1,"Kody Clemens strikes out swinging, catcher Max Stassi to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,0,1,2022,"-0.64","1.3","-0.79","3.1",,650489,,0,2,"Bot",,,,,545358,,,5.448526285731817,-141.27489833947962,-4.771921379561487,-9.75556238062076,32.17854087032844,-13.889998599156273,"3.4","1.66",,,,"98.1",2373,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.66",,,,,,,,15,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",215,"0","-0.076"
"ST","2022-08-21","83.9","-2.33","5.76","Ohtani, Shohei",665019,660271,,"foul",,,,,6,"Kody Clemens strikes out swinging, catcher Max Stassi to first baseman Jared Walsh.","R","L","R","DET","LAA","S",,,0,0,2022,"0.81","0.66","0.41","2.5",,650489,,0,2,"Bot",,,,,545358,,,4.772023007154199,-122.08220774766113,-2.423674814219845,7.106835839762126,24.67735944840334,-25.343830270408326,"3.4","1.66",125,"64.6",71,"84.5",2437,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.74",,,,,,,,15,1,"Sweeper",1,0,1,0,0,1,1,0,"Infield shift","Standard",63,"0","-0.056"
"FS","2022-08-21","87.9","-2.12","6.04","Ohtani, Shohei",650489,660271,"double","hit_into_play",,,,,5,"Willi Castro doubles (13) on a sharp line drive to right fielder Taylor Ward.","R","L","R","DET","LAA","X",9,"line_drive",1,2,2022,"-0.75","0.34","-0.19","2.36",,,,0,2,"Bot",200.41,123.82,,,545358,,,6.287603435247981,-127.92220035033576,-3.523596439982251,-9.571871319351404,26.846949415610087,-27.91894343205114,"3.44","1.62",261,"100.1",17,"88.6",1302,"6.8",662805,660271,545358,665120,664058,650859,623205,666176,545361,621493,"53.75",0.451,0.482,"1.25",1,1,1,4,14,6,"Split-Finger",1,0,1,0,0,1,1,0,"Standard","Standard",237,"0.054","0.697"
