"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"ST","2022-10-05","83.3","-2.47","5.81","Ohtani, Shohei",672478,660271,,"foul",,,,,5,"Jordan Diaz strikes out on a foul tip.","R","R","R","OAK","LAA","S",,,1,0,2022,"0.82","0.39","-0.14","2.66",,,,0,5,"Bot",,,,,545358,,,3.7551350482901493,-121.24751237433405,-1.4910815787677287,7.215798176380155,26.060363116576823,-28.275484879117208,"3.3","1.5",115,"70.9",6,"83.5",2369,"6.6",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.9",,,,,,,,32,2,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",65,"0","-0.043"
"ST","2022-10-05","83.6","-2.47","5.79","Ohtani, Shohei",672478,660271,,"ball",,,,,13,"Jordan Diaz strikes out on a foul tip.","R","R","R","OAK","LAA","B",,,0,0,2022,"0.74","0.06","-0.16","0.92",,,,0,5,"Bot",,,,,545358,,,3.8882809185699005,-121.54507027095504,-4.8735253564961045,6.480936637034877,25.964389921661773,-30.72147578270176,"3.34","1.58",,,,"83.8",2304,"6.7",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.84",,,,,,,,32,1,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",70,"0","0.033"
"FF","2022-10-05","99.6","-2.15","5.95","Ohtani, Shohei",664913,660271,"field_out","hit_into_play",,,,,5,"Seth Brown grounds out, shortstop Livan Soto to first baseman Matt Duffy.","R","L","R","OAK","LAA","X",6,"ground_ball",1,0,2022,"-0.7","0.87","-0.13","2.69",,,,2,4,"Bot",139.53,150.13,,,545358,,,7.254642536058494,-144.76211510607806,-5.57874692191657,-11.545214134796312,35.929965594818576,-18.84230790172619,"3.51","1.73",11,"96.8",-12,"100.2",2169,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.68",0.217,0.214,"0",1,0,0,2,27,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",209,"-0.013","-0.114"
"CU","2022-10-05","68.4","-1.77","6.47","Ohtani, Shohei",664913,660271,,"ball",,,,,14,"Seth Brown grounds out, shortstop Livan Soto to first baseman Matt Duffy.","R","L","R","OAK","LAA","B",,,0,0,2022,"0.97","-1.35","1.71","1.35",,,,2,4,"Bot",,,,,545358,,,5.0047788030483975,-99.3851057380677,0.5618983126451498,5.419640902782164,18.627007404366253,-41.38172123097964,"3.43","1.66",,,,"68.1",2280,"6.5",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.96",,,,,,,,27,1,"Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard",29,"0","0.015"
"SI","2022-10-05","96.9","-2.45","5.69","Ohtani, Shohei",669221,660271,"field_out","hit_into_play",,,,,4,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.","R","R","R","OAK","LAA","X",4,"ground_ball",1,1,2022,"-1.11","0.36","-0.78","2.77",,,,1,4,"Bot",143.08,155.72,,,545358,,,7.079538745739408,-140.9517204266293,-3.141818950483677,-16.434719237185874,30.204951890290737,-26.83467554802447,"3.51","1.7",24,"79.3",-4,"98",1882,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.68",0.126,0.114,"0",1,0,0,2,26,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",219,"-0.019","-0.148"
"SI","2022-10-05","95.8","-2.33","5.77","Ohtani, Shohei",669221,660271,,"foul_tip",,,,,1,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.","R","R","R","OAK","LAA","S",,,1,0,2022,"-1.21","0.26","-0.67","3.07",,,,1,4,"Bot",,,,,545358,,,7.187417617805871,-139.4543066666546,-2.184378165457528,-17.366806030038326,29.271248567636636,-28.43719782091682,"3.51","1.7",,,,"97",1792,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.69",,,,,,,,26,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",216,"0","-0.031"
"SI","2022-10-05","98.3","-2.24","5.84","Ohtani, Shohei",669221,660271,,"ball",,,,,13,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.","R","R","R","OAK","LAA","B",,,0,0,2022,"-1.31","0.42","-0.27","1.17",,,,1,4,"Bot",,,,,545358,,,8.454200103051352,-142.90501126270905,-8.306310641023432,-19.77258365473818,28.888859815981395,-24.843188997462946,"3.59","1.66",,,,"99.8",1831,"6.9",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.62",,,,,,,,26,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",218,"0","0.023"
"SL","2022-10-05","86.4","-2.06","6.29","Ohtani, Shohei",643393,660271,"field_out","hit_into_play",,,,,7,"Tony Kemp lines out to left fielder Jo Adell.","R","L","R","OAK","LAA","X",7,"line_drive",1,2,2022,"0.41","-0.2","-0.76","1.78",,,,0,4,"Bot",52.64,90.68,,,545358,,,2.2705802686060745,-125.7840107811755,-4.13768274481807,3.8946553257942353,25.71272206057428,-33.70142774509364,"3.25","1.52",323,"94.5",24,"86.8",2374,"6.5",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.97",0.171,0.209,"0",1,0,0,5,25,4,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",68,"-0.027","-0.158"
"FC","2022-10-05","90.6","-2.51","5.76","Ohtani, Shohei",643393,660271,,"foul",,,,,9,"Tony Kemp lines out to left fielder Jo Adell.","R","L","R","OAK","LAA","S",,,1,1,2022,"0.35","0.44","0.61","1.7",,,,0,4,"Bot",,,,,545358,,,7.097730162759824,-131.85037478017097,-5.211835737342562,2.731184883518125,26.372204251176328,-26.20381851338579,"3.25","1.52",3,"90.7",-30,"91.6",2422,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.73",,,,,,,,25,3,"Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard",115,"0","-0.054"
"FC","2022-10-05","87.3","-2.43","5.93","Ohtani, Shohei",643393,660271,,"foul",,,,,9,"Tony Kemp lines out to left fielder Jo Adell.","R","L","R","OAK","LAA","S",,,1,0,2022,"0.2","0.31","0.7","1.76",,,,0,4,"Bot",,,,,545358,,,7.166402344006992,-126.973369850621,-4.570298329185755,0.7903368525573744,25.2565673300457,-28.03415160168662,"3.25","1.52",7,"86.5",-15,"88",2153,"6.7",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.81",,,,,,,,25,2,"Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard",150,"0","-0.043"
